date,token_symbol,factor_name,factor_value,lookback_window,factor_data_source,price_usd,cex_volume_usd,dex_volume_usd,dex_share,return_1d,future_return_1d,future_return_3d,future_return_7d
2026-03-30,ARB,MOM_30D,-0.09020787270187998,30d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,MOM_7D,-0.06789457373788892,7d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,MOM_7D_SKIP_1D,-0.045336674874781636,7d_skip_1d,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,ARB,VOL_DIVERGENCE,0.6403028829223139,7d_growth_30d_z,merged_volume_panel,0.0911,10838258.616920603,5005951.316916737,0.3159483077932391,0.030542986425339258,0.019758507135016368,-0.002195389681668547,0.028540065861690556
2026-03-30,CRV,CEX_VOLUME_CONFIRMED_MOM,0.016717759275722967,7d_price_30d_volume,merged_volume_panel,0.2149,11340476.755670004,662887.1365962025,0.05522511377192373,0.03267659778952425,0.014890646812470765,-0.030246626337831595,-0.030711959050721216
2026-03-30,CRV,CEX_VOL_GROWTH_7D,-0.023771997702810903,7d_vs_prev_7d,merged_volume_panel,0.2149,11340476.755670004,662887.1365962025,0.05522511377192373,0.03267659778952425,0.014890646812470765,-0.030246626337831595,-0.030711959050721216
2026-03-30,CRV,CEX_VOL_Z_30D,-0.789339475624844,30d,merged_volume_panel,0.2149,11340476.755670004,662887.1365962025,0.05522511377192373,0.03267659778952425,0.014890646812470765,-0.030246626337831595,-0.030711959050721216
2026-03-30,CRV,DEX_SHARE,0.05522511377192373,1d,merged_volume_panel,0.2149,11340476.755670004,662887.1365962025,0.05522511377192373,0.03267659778952425,0.014890646812470765,-0.030246626337831595,-0.030711959050721216
2026-03-30,CRV,DEX_VOL_GROWTH_7D,-0.2177672049559888,7d_vs_prev_7d,merged_volume_panel,0.2149,11340476.755670004,662887.1365962025,0.05522511377192373,0.03267659778952425,0.014890646812470765,-0.030246626337831595,-0.030711959050721216
2026-03-30,CRV,DEX_VOL_Z_30D,-0.5790174806653191,30d,merged_volume_panel,0.2149,11340476.755670004,662887.1365962025,0.05522511377192373,0.03267659778952425,0.014890646812470765,-0.030246626337831595,-0.030711959050721216
